id,name,value,lng,lat
16386,海淀七贤村路东口GZL,283.2869559,116.303753,39.931697
16387,海淀昆明湖南路1号院ZL,195.8666087,116.265497,39.967752
16389,海淀三里河路9号院丙区3楼ZL,31.66553486,116.322896,39.928846
16390,海淀北京科技大学3ZL,61.63715664,116.356091,39.990762
16391,海淀苏三四村南多径杆GZL,0.012021055,116.167639,40.080341
16392,海淀北京科技大学1ZL,65.59666101,116.352745,39.991564
16393,海淀紫竹院公园北1门办公区ZL,174.1258954,116.307955,39.943181
16394,海淀花园北路多径杆GZL,183.6057448,116.345881,39.986211
16396,海淀北大赛克勒博物馆东GZL,233.3440385,116.300261,39.996021
16397,昌平下东廓村委会CZL,33.08956929,116.322284,40.140279
16398,昌平七小路北ZL,464.0460843,116.314679,40.108141
16399,昌平老六区3号楼西角CZL,90.6369305,116.418854,40.063263
16400,昌平华彬庄园北GZL,237.9411881,116.129422,40.213246
16401,昌平北庄户村北GZL,51.47053676,116.201238,40.160592
16402,昌平天通苑东一区28与25号楼之间灯杆CZL,0,116.427037,40.062386
16403,昌平天通苑中滩园6号楼CZL,107.1256578,116.40298,40.057412
16404,昌平天通苑西三区24号楼灯杆CZL,261.5963917,116.405251,40.078114
16405,昌平老二区3号楼东南CZL,24.77441668,116.415162,40.06177
16406,昌平绿城雅苑飞箱ZL,135.8202931,116.319511,40.145298
16407,昌平蜂窝公寓CZL,263.633267,116.406221,40.054291
16408,昌平马池口火车站西南GZL,251.9464788,116.183744,40.18534
16409,昌平三街裕祥小区ZL,127.0790916,116.230773,40.231366
16410,昌平二中西PZL,80.50561159,116.230306,40.221919
16411,昌平天通苑中一区60号楼及周边灯杆CZL,197.3041111,116.414984,40.067825
16415,昌平东贯市东GZL,143.0018565,116.156225,40.133372
16416,昌平华安小区东ZL,23.79766009,116.136717,40.227603
16417,海淀皂君东里甲25号楼ZL,242.0124699,116.346031,39.957261
16419,门头沟雁翅镇西北GZL,129.1232211,115.889721,40.035611
16420,门头沟玉河古道ZL,4.814101772,116.030061,39.932814
16421,门头沟区三家店一队地区GZL,151.3359707,116.104697,39.965325
16423,门头沟潭柘寺神潭ZL,75.08424226,116.019848,39.909329
16424,门头沟京汉铂寓ZL,277.4555687,116.098548,39.930752
16425,门头沟增圣庄西GZL,293.8132912,116.121618,39.905742
16426,海淀达园宾馆东ZL,29.32973907,116.295135,39.999813
16427,海淀门头馨村北二区东1多径杆GZL,123.2247243,116.211892,39.976242
16428,海淀门头馨村北二区东2多径杆GZL,24.39929912,116.209575,39.974728
16429,海淀门头馨村北二区东3多径杆GZL,18.51554106,116.211547,39.973226
16430,海淀门头馨村北二区西1多径杆GZL,81.05332657,116.205928,39.976749
16433,房山琉璃河任营村北侧ZLG,104.2832936,116.197618,39.649303
16434,房山青龙湖柳叶沟ZLG,0.126136208,116.042151,39.838717
16435,房山良乡小苑村东ZLG,38.13627846,116.106845,39.762253
16436,房山青龙湖果各庄东侧ZLG,45.832478,116.083461,39.754653
16437,房山南窖南窖中心校东ZLG,44.00243322,115.847095,39.762227
16438,房山燕山羊耳峪里西巷东PZLG,52.58398611,115.962076,39.757434
16439,房山燕山九渡矿泉水厂ZLG,259.64968,115.934219,39.765247
16440,房山张坊牛家庄东南ZL,31.48679114,115.725169,39.641264
16441,房山大石窝水头村北ZLG,46.95284302,115.768251,39.615856
16442,房山燕山燕林木器厂东北ZLG,83.89592128,115.972244,39.723916
16443,房山琉璃河任场南ZLG,3.836031828,116.18621,39.639199
16444,房山张坊乐谷银滩ZL,0.499844408,115.657151,39.611451
16445,房山蒲洼成人教育学校ZLG,16.05057903,115.535646,39.749262
16446,房山韩村河上中院村西北ZLG,6.9763099,115.817818,39.656328
16447,房山琉璃河吴场村北ZLG,114.4427666,116.191974,39.627264
16448,房山燕山羊耳峪西里东北PZLG,25.90728123,115.964688,39.759651
16449,房山长阳加州水郡东区ZL,247.3672026,116.161232,39.762835
16450,房山良乡西北关村西南ZL,146.2452709,116.130398,39.737184
16451,房山城关饶乐府小学ZLG,119.9286973,115.993889,39.706456
16452,房山良乡后石羊西PZLG,42.17908382,116.155292,39.683874
16454,海淀四季阳光科技园ZL,185.5162448,116.222431,39.947331
16456,海淀中央电视塔北侧多径杆GZL,0,116.302796,39.920309
16457,海淀紫竹公园南侧游船码头ZL,244.2343909,116.311537,39.939646
16458,昌平4G北郡家园2Z,98.34167308,116.272184,40.196427
16460,昌平和谐家园一区灯杆CZL,31.54294233,116.351526,40.084895
16461,昌平国风美唐三期29号楼ZL,184.0425551,116.3555,40.076088
16462,昌平果岭小镇东飞箱ZL,27.61107939,116.260071,40.224711
16463,昌平龙跃苑一区灯杆ZL,88.3770236,116.345912,40.076445
16464,昌平双龙山景区ZL,2.597109203,116.156773,40.347307
16465,昌平北郊农场家属院8号楼ZL,93.99192955,116.311842,40.077451
16466,昌平望都新地ZL,59.13490015,116.406287,40.110289
16467,昌平矿业大学东CZL,150.870763,116.258002,40.152809
