id,name,lng,lat
NR18121539,5G临时基站名3,116.406,39.893566
NR18121497,5G临时基站名1,116.426,39.913691
NR18121505,5G临时基站名2,116.42,39.911471
NR18115279,AM70750海淀德顺园东南ZL,116.251601,39.950971
NR18110806,昌平Z,116.23101,40.21899
NR18110807,昌平巴林石宾馆ZL,116.233359,40.222191
NR18121107,昌平百嘉城10号楼ZL,116.306,40.0806
NR18120977,昌平百善西南ZL,116.277,40.1475
NR18121113,昌平北安河入口ZL,116.294,40.0897
NR18121321,昌平北环2号ZL,116.221,40.2286
NR18110810,昌平北环里小区飞箱ZL,116.223164,40.226529
NR18121117,昌平北郊汽配城ZL,116.302,40.0797
NR18121119,昌平北郊宿舍ZL,116.307,40.0756
NR18121121,昌平北街家园五区ZL,116.3,40.0939
NR18121005,昌平北邮沙河校区ZL,116.283,40.1574
NR18121325,昌平财会之家ZL,116.231,40.2289
NR18110814,昌平菜市场ZL,116.22693,40.22286
NR18110829,昌平创新园小区ZL,116.233831,40.209471
NR18110830,昌平大华家电Z,116.23453,40.21436
NR18121329,昌平党校门北GZL,116.236,40.2285
NR18110831,昌平道署胡同ZL,116.224472,40.215179
NR18110832,昌平东关南里小区ZL,116.240899,40.213391
NR18110833,昌平东环路GZL,116.233451,40.225341
NR18121125,昌平二拨子桥GZL,116.296,40.0876
NR18110834,昌平防疫站ZLD,116.226137,40.226393
NR18121331,昌平房管所ZL,116.227,40.2293
NR18121131,昌平港龙商业中心ZL,116.326,40.077
NR18110840,昌平公园西门GZL,116.22777,40.2156
NR18121133,昌平国仕汇ZL,116.309,40.0788
NR18110844,昌平国土局ZL,116.24531,40.21763
NR18110846,昌平豪恒大厦GZL,116.22051,40.22525
NR18121135,昌平华北电力大学ZL,116.302,40.0892
NR18121137,昌平华北电力大学西北GZL,116.299,40.0888
NR18121139,昌平华北电力大学西南ZL,116.301,40.084
NR18121143,昌平华电交流中心ZL,116.306,40.0917
NR18121145,昌平华电教三楼ZL,116.303,40.0866
NR18121147,昌平华电水塔ZL,116.306,40.0887
NR18110849,昌平化工大学ZL,116.247091,40.215041
NR18121149,昌平回昌路ZL,116.312,40.09
NR18121151,昌平回龙观北郊农场桥GZLD,116.312,40.0689
NR18121153,昌平回龙观东北ZL,116.31,40.0737
NR18121155,昌平回龙观公交总站ZL,116.32,40.0833
NR18121157,昌平回龙观中学ZL,116.312,40.0789
NR18121159,昌平回龙园GZL,116.319,40.0797
NR18121163,昌平回南北路ZL,116.309,40.0849
NR18110859,昌平建明里小区ZL,116.21884,40.22006
NR18110862,昌平锦水芙蓉酒店ZL,116.226933,40.219503
NR18110864,昌平静心苑西侧飞箱ZL,116.217373,40.225656
