name,lng,lat,1M5g_yonghushu,1M5g_zhuliubi,12M5g_yonghushu,12M5g_zhuliubi,归属区域名称,
房山5G电信良乡工商大学1Z,116.166685,39.717293,95,0.048 ,1430 ,0.899 ,北京良乡大学城,1.851093228
房山5G良乡检察院1ZM,116.130471,39.744731,无此基站,无此基站,2 ,0.037 ,北京良乡大学城,3.352950722
房山5G良乡六环良乡梨村南1Z,116.17149,39.694786,无此基站,无此基站,3 ,0.350 ,北京良乡大学城,1.500970253
房山5G青龙湖六环大马村1Z,116.093599,39.751826,无此基站,无此基站,2146 ,0.997 ,北京良乡大学城,0.028935038
房山5G良乡梨村1Z,116.179222,39.711095,330,0.180 ,3655 ,0.988 ,北京良乡大学城,0.544997796
房山5G长阳六环葫芦垡1Z,116.213131,39.694468,无此基站,无此基站,3536 ,1.000 ,北京良乡大学城,0
房山5G良乡热力公司东北1Z,116.150975,39.717134,无此基站,无此基站,445 ,1.000 ,北京良乡大学城,0
房山5G良乡时代广场2ZM,116.168248,39.723721,无此基站,无此基站,392 ,0.265 ,北京良乡大学城,5.448618465
房山5G长阳凯悦莱1Z,116.169851,39.746175,16,0.370 ,173 ,0.607 ,北京良乡大学城,1.502217356
房山5G阎村六环张庄村东1Z,116.090931,39.734711,无此基站,无此基站,1778 ,0.999 ,北京良乡大学城,0.02766153
房山5G长阳体育公园西南1Z,116.191273,39.75272,无此基站,无此基站,692 ,0.873 ,北京良乡大学城,0.26041108
房山5G青龙湖六环北刘庄1Z,116.093897,39.744211,无此基站,无此基站,1510 ,0.998 ,北京良乡大学城,0.018561406
房山5G良乡知兴西路致美南街交汇1Z,116.172517,39.719506,无此基站,无此基站,1216 ,0.566 ,北京良乡大学城,7.190028815
房山5G良乡时代广场1ZM,116.168248,39.723721,无此基站,无此基站,4163 ,0.847 ,北京良乡大学城,5.448618465
房山5G良乡肖庄村东北1Z,116.129345,39.708164,无此基站,无此基站,873 ,0.690 ,北京良乡大学城,1.781255335
房山5G阎村京港澳高速与六环交叉口东侧1Z,116.106235,39.696796,无此基站,无此基站,4484 ,0.890 ,北京良乡大学城,3.088551597
房山5G长阳家园B区西1Z,116.163652,39.754301,无此基站,无此基站,1072 ,0.985 ,北京良乡大学城,0.136797332
房山5G良乡开发区1Z,116.122272,39.719731,219,0.237 ,3198 ,0.864 ,北京良乡大学城,5.184612669
房山5G良乡五中北侧1Z,116.147975,39.726107,168,0.278 ,2044 ,0.754 ,北京良乡大学城,3.261885205
房山5G良乡中国社会科学院5ZM,116.172614,39.740101,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,6.135513966
房山5G良乡城铁大学城北站南1Z,116.176918,39.727036,无此基站,无此基站,957 ,0.355 ,北京良乡大学城,10.29710711
房山5G良乡政通鲁村2Z,116.147265,39.708767,无此基站,无此基站,1086 ,0.969 ,北京良乡大学城,0.328814151
房山5G良乡检测厂1Z,116.128955,39.712029,无此基站,无此基站,369 ,0.779 ,北京良乡大学城,0.727041031
房山5G良乡美丫美百货1ZM,116.130435,39.729379,无此基站,无此基站,7 ,0.003 ,北京良乡大学城,3.756882201
房山5G阎村成人学校东1Z,116.096521,39.715941,1007,0.281 ,11475 ,0.981 ,北京良乡大学城,1.539485735
房山5G长阳六环（冠华玻璃厂）1Z,116.187867,39.695067,无此基站,无此基站,1715 ,0.930 ,北京良乡大学城,0.416750103
房山5G良乡监狱1Z,116.12842,39.69704,无此基站,无此基站,1715 ,0.963 ,北京良乡大学城,0.335945903
房山5G良乡镇凯旋大街建设路交叉口西南角2Z,116.125402,39.715005,无此基站,无此基站,637 ,0.940 ,北京良乡大学城,0.527648578
房山5G长阳京广线后店村1Z,116.160171,39.751711,无此基站,无此基站,933 ,0.838 ,北京良乡大学城,1.020657118
房山5G长阳水碾屯回迁楼东南1Z,116.185446,39.732289,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,2.298993837
房山5G长阳联通社科院研究生院1Z,116.177038,39.736145,2,0.086 ,11 ,0.393 ,北京良乡大学城,4.55190198
房山5G良乡火车站1Z,116.154131,39.742721,67,0.278 ,747 ,0.615 ,北京良乡大学城,2.323922436
房山5G良乡东阳大酒店1Z,116.158675,39.722695,151,0.077 ,1666 ,0.684 ,北京良乡大学城,8.321122536
房山5G良乡六环小营村1Z,116.141791,39.694411,无此基站,无此基站,3411 ,0.995 ,北京良乡大学城,0.12839757
房山5G良乡工商大学南1Z,116.165472,39.714871,无此基站,无此基站,385 ,0.319 ,北京良乡大学城,13.59347947
房山5G良乡梅花庄1Z,116.156969,39.738272,124,0.420 ,1318 ,0.961 ,北京良乡大学城,0.51341407
房山5G长阳一村南1Z,116.164222,39.749891,无此基站,无此基站,724 ,0.898 ,北京良乡大学城,0.345828816
房山5G长阳小清河西1Z,116.189823,39.721817,无此基站,无此基站,830 ,0.993 ,北京良乡大学城,0.067877667
房山5G良乡京石高速与良坨大街交叉口北1Z,116.123133,39.745172,0,0.000 ,2601 ,0.984 ,北京良乡大学城,0.117900032
房山5G阎村京港澳南梨园桥1Z,116.091176,39.699354,无此基站,无此基站,3930 ,0.999 ,北京良乡大学城,0.002824662
房山5G良乡华淼汽修1Z,116.14043,39.751568,无此基站,无此基站,2969 ,0.970 ,北京良乡大学城,0.454890741
房山5G良乡医院新建楼1ZM,116.135311,39.735112,无此基站,无此基站,4887 ,0.922 ,北京良乡大学城,6.036235014
房山5G良乡南关运7酒店1Z,116.136987,39.722387,503,0.183 ,4445 ,0.879 ,北京良乡大学城,4.176315559
房山5G阎村镇六环大件路出口1Z,116.090844,39.728676,无此基站,无此基站,1979 ,0.800 ,北京良乡大学城,1.85211493
房山5G良乡理工大学东校区东致美北街良乡东路南1Z,116.172702,39.729554,无此基站,无此基站,1 ,1.000 ,北京良乡大学城,0
房山5G阎村联通肖庄2Z,116.113701,39.699192,无此基站,无此基站,609 ,0.502 ,北京良乡大学城,2.98931594
房山5G长阳金色河畔1Z,116.208691,39.702642,无此基站,无此基站,4 ,0.144 ,北京良乡大学城,21.00243481
房山5G长阳城建广悦居东侧居民楼1Z,116.184509,39.739137,无此基站,无此基站,592 ,0.811 ,北京良乡大学城,0.585717545
