name,lng,lat,1M5g_yonghushu,1M5g_zhuliubi,6M5g_yonghushu,6M5g_zhuliubi,9M5g_yonghushu,9M5g_zhuliubi,12M5g_yonghushu,12M5g_zhuliubi,归属区域名称
房山5G电信良乡工商大学1Z,116.166685,39.717293,95,0.0481,,,1130,0.5923,1430,0.8989,北京良乡大学城
房山5G良乡检察院1ZM,116.130471,39.744731,,,,,,,2,0.0369,北京良乡大学城
房山5G良乡六环良乡梨村南1Z,116.17149,39.694786,,,2,0.1073,3,0.2347,3,0.3495,北京良乡大学城
房山5G青龙湖六环大马村1Z,116.093599,39.751826,,,,,1589,0.6084,2146,0.9975,北京良乡大学城
房山5G良乡梨村1Z,116.179222,39.711095,330,0.18,1791,0.3507,2851,0.6126,3655,0.9883,北京良乡大学城
房山5G长阳六环葫芦垡1Z,116.213131,39.694468,,,,,2582,0.66,3536,1,北京良乡大学城
房山5G良乡热力公司东北1Z,116.150975,39.717134,,,,,312,0.65,445,1,北京良乡大学城
房山5G良乡时代广场2ZM,116.168248,39.723721,,,,,,,392,0.2649,北京良乡大学城
房山5G长阳凯悦莱1Z,116.169851,39.746175,16,0.3699,73,0.4399,123,0.3606,173,0.6075,北京良乡大学城
房山5G阎村六环张庄村东1Z,116.090931,39.734711,,,854,0.4245,1334,0.6893,1778,0.999,北京良乡大学城
房山5G长阳体育公园西南1Z,116.191273,39.75272,,,346,0.3766,554,0.5922,692,0.8728,北京良乡大学城
房山5G青龙湖六环北刘庄1Z,116.093897,39.744211,,,741,0.4241,1103,0.6537,1510,0.998,北京良乡大学城
房山5G良乡知兴西路致美南街交汇1Z,116.172517,39.719506,,,,,961,0.3299,1216,0.5664,北京良乡大学城
房山5G良乡时代广场1ZM,116.168248,39.723721,,,,,,,4163,0.8466,北京良乡大学城
房山5G良乡肖庄村东北1Z,116.129345,39.708164,,,411,0.2514,638,0.4245,873,0.6897,北京良乡大学城
房山5G阎村京港澳高速与六环交叉口东侧1Z,116.106235,39.696796,,,2153,0.3322,3274,0.5331,4484,0.8903,北京良乡大学城
房山5G长阳家园B区西1Z,116.163652,39.754301,,,494,0.3645,783,0.6946,1072,0.9848,北京良乡大学城
房山5G良乡开发区1Z,116.122272,39.719731,219,0.2368,1632,0.3814,2303,0.5341,3198,0.8637,北京良乡大学城
房山5G良乡五中北侧1Z,116.147975,39.726107,168,0.2775,859,0.3675,1574,0.4573,2044,0.7537,北京良乡大学城
房山5G良乡中国社会科学院5ZM,116.172614,39.740101,,,,,,,0,0,北京良乡大学城
房山5G良乡城铁大学城北站南1Z,116.176918,39.727036,,,,,718,0.2313,957,0.3549,北京良乡大学城
房山5G良乡政通鲁村2Z,116.147265,39.708767,,,533,0.4269,761,0.6396,1086,0.9695,北京良乡大学城
房山5G良乡检测厂1Z,116.128955,39.712029,,,167,0.2906,285,0.5277,369,0.7793,北京良乡大学城
房山5G良乡美丫美百货1ZM,116.130435,39.729379,,,,,,,7,0.0034,北京良乡大学城
房山5G阎村成人学校东1Z,116.096521,39.715941,1007,0.2806,4935,0.299,8492,0.6571,11475,0.9811,北京良乡大学城
房山5G长阳六环（冠华玻璃厂）1Z,116.187867,39.695067,,,738,0.3477,1321,0.5852,1715,0.9301,北京良乡大学城
房山5G良乡监狱1Z,116.12842,39.69704,,,807,0.3219,1287,0.6349,1715,0.9625,北京良乡大学城
房山5G良乡镇凯旋大街建设路交叉口西南角2Z,116.125402,39.715005,,,274,0.4332,466,0.5542,637,0.9403,北京良乡大学城
房山5G长阳京广线后店村1Z,116.160171,39.751711,,,402,0.3118,728,0.5517,933,0.8383,北京良乡大学城
房山5G长阳水碾屯回迁楼东南1Z,116.185446,39.732289,,,,,,,0,0,北京良乡大学城
房山5G长阳联通社科院研究生院1Z,116.177038,39.736145,2,0.0857,6,0.1108,9,0.2496,11,0.3933,北京良乡大学城
房山5G良乡火车站1Z,116.154131,39.742721,67,0.2777,374,0.3577,546,0.402,747,0.6149,北京良乡大学城
房山5G良乡东阳大酒店1Z,116.158675,39.722695,151,0.0772,750,0.2312,1333,0.4483,1666,0.684,北京良乡大学城
房山5G良乡六环小营村1Z,116.141791,39.694411,,,1672,0.3629,2661,0.6762,3411,0.9945,北京良乡大学城
房山5G良乡工商大学南1Z,116.165472,39.714871,,,,,293,0.1876,385,0.3187,北京良乡大学城
房山5G良乡梅花庄1Z,116.156969,39.738272,124,0.4196,633,0.4173,949,0.6206,1318,0.9606,北京良乡大学城
房山5G长阳一村南1Z,116.164222,39.749891,,,348,0.3422,537,0.5736,724,0.8978,北京良乡大学城
房山5G长阳小清河西1Z,116.189823,39.721817,,,432,0.447,614,0.6257,830,0.9933,北京良乡大学城
房山5G良乡京石高速与良坨大街交叉口北1Z,116.123133,39.745172,0,0,1145,0.3937,1847,0.6492,2601,0.9839,北京良乡大学城
房山5G阎村京港澳南梨园桥1Z,116.091176,39.699354,,,1808,0.4046,2791,0.6744,3930,0.9991,北京良乡大学城
房山5G良乡华淼汽修1Z,116.14043,39.751568,,,1485,0.3979,2228,0.6456,2969,0.9696,北京良乡大学城
房山5G良乡医院新建楼1ZM,116.135311,39.735112,,,,,,,4887,0.9217,北京良乡大学城
房山5G良乡南关运7酒店1Z,116.136987,39.722387,503,0.1827,1912,0.309,3112,0.6056,4445,0.8794,北京良乡大学城
房山5G阎村镇六环大件路出口1Z,116.090844,39.728676,,,931,0.3051,1485,0.5021,1979,0.8002,北京良乡大学城
房山5G良乡理工大学东校区东致美北街良乡东路南1Z,116.172702,39.729554,,,,,1,0.67,1,1,北京良乡大学城
房山5G阎村联通肖庄2Z,116.113701,39.699192,,,287,0.1707,457,0.3011,609,0.5018,北京良乡大学城
房山5G长阳金色河畔1Z,116.208691,39.702642,,,2,0.0517,3,0.1154,4,0.1435,北京良乡大学城
房山5G长阳城建广悦居东侧居民楼1Z,116.184509,39.739137,,,,,415,0.4849,592,0.8114,北京良乡大学城
房山5G良乡大学城北站西南侧1Z,116.173842,39.726123,33,0.0518,2127,0.358,3349,0.614,4525,0.9816,北京良乡大学城
房山5G长阳消防支队1Z,116.153923,39.751375,,,1,0.1838,1,0.2256,1,0.3863,北京良乡大学城
房山5G长阳联通文昌西路1Z,116.165338,39.738907,58,0.1148,300,0.2552,472,0.5499,612,0.772,北京良乡大学城
房山5G阎村京石高速梨园桥1Z,116.101537,39.703125,,,,,1410,0.6285,1762,0.9675,北京良乡大学城
房山5G良乡希岸轻雅酒店1ZM,116.151397,39.730242,,,,,0,0,0,0,北京良乡大学城
房山5G良乡北京理工大学北校区3ZM,116.161848,39.731849,,,,,,,0,0,北京良乡大学城
房山5G良乡阳光邑上西南1Z,116.150488,39.725168,286,0.2188,1208,0.3098,1787,0.5082,2516,0.7921,北京良乡大学城
房山5G良乡理工大学食堂1Z,116.163527,39.730741,54,0.0663,382,0.1884,655,0.3619,829,0.5811,北京良乡大学城
房山5G良乡新局1Z,116.135088,39.746882,495,0.3016,2289,0.3108,4250,0.6767,5448,0.9309,北京良乡大学城
房山5G良乡理工大学东校区东1Z,116.172206,39.732614,,,229,0.318,357,0.5718,457,0.8556,北京良乡大学城
房山5G阎村博英学校1Z,116.09925,39.72317,,,1258,0.3962,2030,0.5135,2858,0.8582,北京良乡大学城
房山5G良乡工商大学西校区西南1Z,116.155544,39.716917,,,,,,,510,0.6295,北京良乡大学城
房山5G良乡中国社会科学院4ZM,116.172614,39.740101,,,,,,,0,0,北京良乡大学城
房山5G良乡华北电网培训中心1Z,116.146163,39.744725,223,0.0503,1130,0.3795,1779,0.5497,2404,0.9176,北京良乡大学城
房山5G良乡北潞园西1Z,116.113111,39.735937,299,0.4595,1563,0.4845,2328,0.6645,3188,0.9919,北京良乡大学城
房山5G良乡太平庄华冠超市1Z,116.113265,39.731697,318,0.1398,1265,0.3295,2052,0.6216,2810,0.9569,北京良乡大学城
房山5G良乡北京理工大学南校区3ZM,116.163456,39.724636,,,,,,,0,0,北京良乡大学城
房山5G良乡工商大学宿舍楼1Z,116.158348,39.718342,105,0.0505,435,0.2349,709,0.506,945,0.8062,北京良乡大学城
房山5G长阳城铁大学城北站1Z,116.176901,39.729293,170,0.1391,5,0.1841,8,0.1114,9,0.2023,北京良乡大学城
房山5G良乡中国社会科学院3ZM,116.172614,39.740101,,,,,,,0,0,北京良乡大学城
房山5G良乡理工大学南校区1Z,116.161851,39.725247,175,0.2256,443,0.3356,790,0.3311,1053,0.5091,北京良乡大学城
房山5G良乡昊天公园1Z,116.146897,39.733104,329,0.2117,1401,0.2641,2508,0.3597,3257,0.5776,北京良乡大学城
房山5G良乡理工大学1Z,116.161703,39.736423,81,0.0271,2,0.0472,3,0.0654,4,0.1072,北京良乡大学城
房山5G长阳六环长阳出口1Z,116.201156,39.695533,,,6,0.0308,8,0.0503,10,0.0751,北京良乡大学城
房山5G良乡学园北街良乡东路交汇1Z,116.166065,39.729989,,,,,9,0.0295,11,0.0447,北京良乡大学城
房山5G良乡裕恒通建材1Z,116.141458,39.726402,114,0.1991,641,0.4041,1117,0.5845,1489,0.9745,北京良乡大学城
房山5G良乡金光路7号1ZM,116.122174,39.719756,,,,,,,19,0.1596,北京良乡大学城
房山5G长阳社科院1Z,116.177312,39.740865,65,0.1473,741,0.2915,1160,0.422,1611,0.6546,北京良乡大学城
房山5G良乡瑞城广场1ZM,116.135222,39.728865,,,,,,,0,0,北京良乡大学城
房山5G良乡火车站南1Z,116.146163,39.744725,165,0.1113,718,0.2669,1098,0.5726,1464,0.9396,北京良乡大学城
房山5G良乡瑞雪春堂2里28号楼1Z,116.139111,39.717432,129,0.4495,485,0.5195,865,0.5911,1153,0.9541,北京良乡大学城
房山5G良乡荷园南路揽秀南街交汇1Z,116.151652,39.714761,,,,,845,0.63,1206,1,北京良乡大学城
房山5G良乡首都师范大学1Z,116.170138,39.711191,164,0.275,919,0.2837,1312,0.6672,1874,0.9958,北京良乡大学城
房山5G良乡首发物流商务楼北1Z,116.113952,39.71968,,,,,5,0.6,6,1,北京良乡大学城
房山5G良乡水产局1Z,116.126115,39.730142,177,0.2225,781,0.2426,1149,0.4239,1531,0.678,北京良乡大学城
房山5G良乡太平庄石材厂2Z,116.107172,39.731805,157,0,2655,0.3432,4867,0.5999,6320,0.9681,北京良乡大学城
房山5G长阳镇凯悦莱酒店1ZM,116.169143,39.746741,,,,,,,0,0,北京良乡大学城
房山5G良乡智汇雅苑二期1ZM,116.175041,39.734211,,,,,,,0,0,北京良乡大学城
房山5G良乡智汇雅苑二期2ZM,116.175041,39.734211,,,,,,,0,0,北京良乡大学城
房山5G良乡伟业嘉园东里北2Z,116.156352,39.733553,,,,,3,0.62,3,1,北京良乡大学城
房山5G良乡工会1ZM,116.129371,39.743961,,,,,,,5,0.0047,北京良乡大学城
房山5G良乡智汇雅苑二期3ZM,116.175041,39.734211,,,,,,,3786,0.7884,北京良乡大学城
房山5G良乡西潞大街1Z,116.124087,39.736881,0,0,,,,,0,0,北京良乡大学城
