name,lng,lat,9M5g_yonghushu,9M5g_liuliang,9M4g_liuliang,9MSite_zhuliubi,9M_fugailv,9M_tousu,12M5g_yonghushu,12M5g_liuliang,12M4g_liuliang,12MSite_zhuliubi,12M_fugailv,12M_tousu,归属区域名称,
房山5G电信良乡工商大学1Z,116.166685,39.717293,1267 ,1.43 ,4.08 ,25.93%,0.993 ,,2563 ,53.34 ,1.851093228,96.6%,0.961 ,,北京良乡大学城,1.851093228
房山5G良乡检察院1ZM,116.130471,39.744731,0 ,0.00 ,1.23 ,0.00%,,,4 ,0.42 ,3.352950722,11.0%,0.961 ,,北京良乡大学城,3.352950722
房山5G良乡六环良乡梨村南1Z,116.17149,39.694786,2854 ,2.38 ,1.16 ,67.21%,0.889 ,,5 ,2.61 ,1.500970253,63.5%,0.962 ,,北京良乡大学城,1.500970253
房山5G青龙湖六环大马村1Z,116.093599,39.751826,3096 ,0.42 ,1.06 ,28.36%,0.990 ,,3847 ,37.14 ,0.028935038,99.9%,0.962 ,,北京良乡大学城,0.028935038
房山5G良乡梨村1Z,116.179222,39.711095,4427 ,5.61 ,3.04 ,64.90%,0.964 ,,6550 ,149.25 ,0.544997796,99.6%,0.963 ,,北京良乡大学城,0.544997796
房山5G长阳六环葫芦垡1Z,116.213131,39.694468,3908 ,5.28 ,3.00 ,63.76%,0.986 ,,6336 ,30.43 ,0,100.0%,0.963 ,,北京良乡大学城,0
房山5G良乡热力公司东北1Z,116.150975,39.717134,673 ,15.79 ,4.00 ,79.79%,,,796 ,16.06 ,0,100.0%,0.963 ,,北京良乡大学城,0
房山5G良乡时代广场2ZM,116.168248,39.723721,519 ,0.01 ,8.96 ,0.07%,,,701 ,6.36 ,5.448618465,53.9%,0.963 ,,北京良乡大学城,5.448618465
房山5G长阳凯悦莱1Z,116.169851,39.746175,207 ,3.18 ,0.34 ,90.33%,0.996 ,,310 ,7.53 ,1.502217356,83.4%,0.965 ,,北京良乡大学城,1.502217356
房山5G阎村六环张庄村东1Z,116.090931,39.734711,1821 ,16.44 ,1.73 ,90.50%,0.952 ,,3187 ,86.93 ,0.02766153,100.0%,0.966 ,,北京良乡大学城,0.02766153
