name,lng,lat,9M5g_yonghushu,9M5g_liuliang,9M4g_liuliang,9MSite_zhuliubi,9M_fugailv,9M_tousu,12M5g_yonghushu,12M5g_liuliang,12M4g_liuliang,12MSite_zhuliubi,12M_fugailv,12M_tousu,归属区域名称,
怀柔5G装备指挥学院1H,116.663611,40.352501,331,372.02,137.98,0.7295 ,0.9972 ,,542,212.35,11.34020968,0.9490 ,0.9970 ,,雁栖湖APEC峰会中心,
城二5G丰台王佐304厂西1Z,116.162056,39.789158,345,3.01,1.21,0.7137 ,0.9920 ,,596,39.65,0.045125339,0.9990 ,0.9630 ,,,
密云5G种子公司1H,116.790231,40.360517,192,3.06,3.67,0.4547 ,0.9867 ,,345,4.34,0.280772123,0.9390 ,0.9940 ,,,
怀柔5G新贤家园北1H,116.6269,40.32714,370,6.9,7.64,0.4742 ,0.9946 ,,517,4.44,0.7642965,0.8530 ,0.9990 ,,雁栖湖APEC峰会中心,
昌平5G北航实验楼1Z,116.264362,40.150151,0,0,67.05,0.0000 ,0.9918 ,,5495,89.05,3.951817731,0.9580 ,1.0000 ,,,
大兴5G汽车技工学校1H,116.653325,39.644059,182,33.34,49.19,0.4040 ,0.9904 ,,402,38.02,9.269483655,0.8040 ,0.9590 ,,,
通州5G加州小镇北侧2H,116.676664,39.867668,1154,26.64,1,0.9638 ,0.9903 ,,2136,13.73,0,1.0000 ,0.9990 ,,,
密云5G国鑫恒泰1H,116.840357,40.359372,264,3.91,19.64,0.1662 ,0.9983 ,,777,8.48,1.241488853,0.8720 ,0.9970 ,,首都密云生态涵养典范区,
城一5G朝阳东辛店村北1H,116.498797,40.013276,563,19.89,28.84,0.4082 ,0.9959 ,,763,14.43,2.797280749,0.8380 ,0.9990 ,,,
城一5G朝阳北小河路北1H,116.532124,40.004539,338,9.45,0.62,0.9388 ,0.9748 ,,474,2.25,0.021601121,0.9900 ,0.9880 ,,,
大兴5G饮鹿池1H,116.413633,39.762928,222,5.7,6.52,0.4664 ,0.9880 ,,427,5.18,1.288293672,0.8010 ,0.9970 ,,,
城二5G丰台丰仪北路西侧道路监控杆1Z,116.213582,39.878922,1098,0.26,7.78,0.0323 ,1.0000 ,,1952,20.37,1.433132247,0.9340 ,0.9940 ,,,
大兴5G亦庄东方协和医药公司1H,116.511636,39.801007,228,6.75,25.48,0.2093 ,0.9957 ,,835,37.84,4.742746264,0.8890 ,1.0000 ,,,
