name,lng,lat,1M5g_yonghushu,1M5g_zhuliubi222,6M5g_yonghushu,6M5g_zhuliubi222,9M5g_yonghushu,9M5g_zhuliubi222,12M5g_yonghushu,12M5g_zhuliubi222,归属区域名称,,,1M5g_zhuliubi,,6M5g_zhuliubi,,9M5g_zhuliubi,,12M5g_zhuliubi
怀柔5G装备指挥学院1H,116.663611,40.352501,57,0.3647 ,277,0.4097 ,391,0.6041 ,542 ,0.9493 ,雁栖湖APEC峰会中心,,,36.47272512,,40.97272512,,60.40758119,,94.93046097
城二5G丰台王佐304厂西1Z,116.162056,39.789158,,,,,244,0.6775 ,333 ,0.9963 ,,,,0,,0,,67.74644572,,99.63253003
密云5G种子公司1H,116.790231,40.360517,,,,,245,0.5536 ,345 ,0.9393 ,,,,0,,0,,55.35595955,,93.92659925
怀柔5G新贤家园北1H,116.6269,40.32714,,,254,0.3086 ,414,0.5786 ,517 ,0.8531 ,雁栖湖APEC峰会中心,,,0,,30.85769916,,57.8623212,,85.30771188
昌平5G北航实验楼1Z,116.264362,40.150151,0,0.0000 ,1534,0.3160 ,2361,0.6370 ,3066 ,0.8743 ,,,,0,,31.59912683,,63.69825365,,87.42607665
大兴5G汽车技工学校1H,116.653325,39.644059,31,0.2020 ,193,0.3066 ,322,0.5045 ,402 ,0.8040 ,,,,20.1982132,,30.6588126,,50.45410016,,80.39703149
通州5G加州小镇北侧2H,116.676664,39.867668,,,,,1538,0.6400 ,2136 ,1.0000 ,,,,0,,0,,64,,100
密云5G国鑫恒泰1H,116.840357,40.359372,,,381,0.3415 ,560,0.5744 ,777 ,0.8723 ,首都密云生态涵养典范区,,,0,,34.14591692,,57.4414851,,87.22609716
城一5G朝阳东辛店村北1H,116.498797,40.013276,,,,,542,0.5429 ,763 ,0.8377 ,,,,0,,0,,54.28551312,,83.76592896
城一5G朝阳北小河路北1H,116.532124,40.004539,,,204,0.3416 ,332,0.6734 ,474 ,0.9905 ,,,,0,,34.15759963,,67.34373263,,99.04888787
大兴5G饮鹿池1H,116.413633,39.762928,38,0.2332 ,184,0.2743 ,308,0.5106 ,427 ,0.8010 ,,,,23.32008843,,27.43210095,,51.06322914,,80.09727559
城二5G丰台丰仪北路西侧道路监控杆1Z,116.213582,39.878922,82,0.0050 ,458,0.2700 ,872,0.4949 ,1089 ,0.8144 ,,,,0.502216015,,27.0025518,,49.49023461,,81.43586228
大兴5G亦庄东方协和医药公司1H,116.511636,39.801007,,,360,0.4099 ,652,0.5587 ,835 ,0.8886 ,,,,0,,40.98817764,,55.87207486,,88.86261697
房山5G电信良乡工商大学1Z,116.166685,39.717293,95,0.0481 ,,,1130,0.5923 ,1430 ,0.8989 ,北京良乡大学城,,,4.812907359,,0,,59.22675814,,89.89068379
城二5G丰台王佐下庄村南1Z,116.120415,39.818731,,,1284,0.3848 ,2076,0.6246 ,2731 ,0.9994 ,,,,0,,38.47607082,,62.46410623,,99.94017705
城一5G朝阳万方餐饮北门1H,116.58988,39.85499,,,,,417,0.5390 ,570 ,0.8193 ,,,,0,,0,,53.89567652,,81.93384555
顺义5G庄头村1H,116.63929,40.14465,,,,,240,0.5783 ,328 ,0.9644 ,,,,0,,0,,57.83117369,,96.44454703
城二5G丰台临泓路顺福海运停车场1H,116.29091,39.79538,26,0.4989 ,,,317,0.5999 ,410 ,0.9999 ,,,,49.89046404,,0,,59.99464964,,99.99122891
城一5G朝阳金盏金融14共电信1H,116.580827,39.969541,,,,,1940,0.5985 ,2519 ,0.9219 ,,,,0,,0,,59.84709238,,92.19256422
怀柔5G塞班假日1H,116.621692,40.345001,,,161,0.2999 ,249,0.4938 ,350 ,0.7872 ,雁栖湖APEC峰会中心,,,0,,29.98674997,,49.37879995,,78.71687492
城三5G石景山八大处路南口1Z,116.19519,39.93198,0,0.0000 ,2584,0.3650 ,4387,0.5900 ,6009 ,1.0000 ,,,,0,,36.5,,59,,100
大兴5G后辛庄村北1H,116.277843,39.724479,,,,,,,0 ,0.0000 ,,,,0,,0,,0,,0
城三5G石景山鑫金玉阁西1Z,116.18244,39.899801,,,,,940,0.6400 ,1175 ,1.0000 ,,,,0,,0,,64,,100
顺义5G东兴一区26号楼1H,116.655262,40.131009,,,,,,,0 ,0.0000 ,,,,0,,0,,0,,0
城二5G丰台晓月郊野公园西1Z,116.200424,39.854724,,,,,539,0.5951 ,699 ,0.9919 ,,,,0,,0,,59.50531277,,99.18903733
城三5G海淀龙泉驾校8字训练场1Z,116.22204,40.02523,11,0.0000 ,494,0.2950 ,716,0.6950 ,967 ,1.0000 ,,,,0,,29.5,,69.5,,100
城二5G丰台郭公庄路东1Z,116.30789,39.80442,108,0.2980 ,830,0.3027 ,1370,0.5955 ,1929 ,0.9927 ,,,,29.80477026,,30.26538863,,59.55277208,,99.26683947
顺义5G北小营后鲁各庄路与箭杆河交汇处1H,116.723964,40.189001,,,,,184,0.6679 ,242 ,0.9684 ,,,,0,,0,,66.78820928,,96.84029897
城三5G海淀新紫阳饭店1Z,116.324911,39.941183,159,0.1541 ,1288,0.4467 ,1945,0.6351 ,2739 ,0.9925 ,,,,15.40857138,,44.6695519,,63.51183803,,99.24898158
城三5G海淀辛力屯东北1Z,116.167431,40.141161,,,13,0.0013 ,18,0.0018 ,24 ,0.0030 ,,,,0,,0.128113282,,0.178762718,,0.297937864
城一5G朝阳广渠路储运公司1H,116.502955,39.887821,342,0.3482 ,1738,0.3746 ,2625,0.5559 ,3697 ,0.9277 ,北京工业大学,,,34.81514262,,37.46240621,,55.58825663,,92.76763383
顺义5G高丽营羊房村西1H,116.510184,40.139107,,,,,,,0 ,0.0000 ,,,,0,,0,,0,,0
城三5G石景山首钢四高炉1Z,116.151535,39.914741,63,0.0000 ,207,0.2762 ,344,0.4727 ,440 ,0.7662 ,,,,0,,27.61724539,,47.27332788,,76.62432997
城三5G海淀德润科技大厦1Z,116.26679,39.93669,,,1237,0.2598 ,2272,0.3766 ,2876 ,0.5948 ,,,,0,,25.98046334,,37.66024088,,59.47729367
城三5G海淀永丰农业产业园北侧1Z,116.198626,40.079896,41,0.0000 ,72,0.2969 ,136,0.5236 ,171 ,0.8209 ,,,,0,,29.69382386,,52.35785661,,82.08901017
顺义5G天竺综保区口岸物流服务中心1HM,116.584052,40.105401,,,,,,,278 ,0.0946 ,,,,0,,0,,0,,9.4558276
顺义5G庄头村南1H,116.631551,40.144711,,,,,689,0.6259 ,984 ,0.9492 ,,,,0,,0,,62.59343335,,94.91557216
通州5G次渠报业东2H,116.556515,39.814856,,,381,0.4286 ,683,0.5667 ,864 ,0.9302 ,,,,0,,42.86031895,,56.67421723,,93.02293101
通州5G摇不动村东2H,116.773952,39.923569,,,,,94,0.5339 ,119 ,0.9065 ,,,,0,,0,,53.39012266,,90.65020444
城三5G门头沟秋坡村拆迁替换站1Z,116.071079,39.874771,134,0.0968 ,371,0.4042 ,553,0.6737 ,727 ,0.9980 ,,,,9.682105647,,40.41630229,,67.37046783,,99.80071974
城二5G丰台宝苑国际购物中心1H,116.401225,39.807067,21,0.1428 ,90,0.2576 ,163,0.5351 ,203 ,0.8792 ,北京龙潭湖景区,,,14.27527915,,25.7561325,,53.51226501,,87.92300808
大兴5G亦庄国际e庄1H,116.52536,39.81785,,,,,821,0.6372 ,1155 ,0.9659 ,,,,0,,0,,63.71554033,,96.59035871
大兴5G瀛海北普陀东1H,116.449743,39.733609,,,,,,,0 ,0.0000 ,,,,0,,0,,0,,0
城二5G丰台南苑机场操场1Z,116.400939,39.793479,30,0.2862 ,250,0.3312 ,423,0.5892 ,595 ,0.8812 ,,,,28.6193364,,33.1193364,,58.91918153,,88.11644343
城三5G海淀皇后店村南1Z,116.247352,40.086698,31,0.1285 ,960,0.3050 ,1579,0.6250 ,2132 ,1.0000 ,,,,12.84916447,,30.5,,62.5,,100
城一5G朝阳望京网球俱乐部1H,116.444313,39.989716,540,0.3245 ,3771,0.3224 ,6118,0.6899 ,8380 ,0.9924 ,,,,32.44582449,,32.24013418,,68.98791148,,99.23568878
城三5G海淀温泉中关村科技园文松路北侧1Z,116.172404,40.060266,99,0.2665 ,184,0.3550 ,266,0.6600 ,359 ,1.0000 ,,,,26.65073206,,35.5,,66,,100
城三5G门头沟综地雅园酒店1Z,116.086882,39.943277,81,0.1867 ,540,0.3587 ,933,0.6631 ,1227 ,0.9116 ,,,,18.67012425,,35.87479203,,66.31062054,,91.15802935
大兴5G亦庄科创二街东口1H,116.52826,39.81599,,,,,,,561 ,0.9773 ,,,,0,,0,,0,,97.72633508
城二5G丰台丰体南路8号院通信楼神鸿1Z,116.26633,39.857927,,,,,1412,0.6500 ,1857 ,1.0000 ,首都经济贸易科技园区,,,0,,0,,65,,100
房山5G青龙湖崇各庄1Z,116.076944,39.780481,,,224,0.4009 ,347,0.6832 ,496 ,0.9903 ,,,,0,,40.09361066,,68.32268443,,99.03240633
昌平5G东闸村1Z,116.202896,40.146753,,,,,,,0 ,0.0000 ,,,,0,,0,,0,,0
城二5G丰台西庄店村西南1Z,116.088021,39.832371,,,,,249,0.6292 ,326 ,0.9987 ,,,,0,,0,,62.91625993,,99.86915614
房山5G城关成教中心1Z,115.973343,39.686411,,,1039,0.3849 ,1636,0.6727 ,2211 ,0.9753 ,,,,0,,38.48717128,,67.27078024,,97.52968606
城三5G海淀西小营村北1Z,116.14779,40.07736,,,,,417,0.5875 ,548 ,0.9795 ,,,,0,,0,,58.74709958,,97.94606488
顺义5G张镇莲花苑西南1H,116.93183,40.14479,,,,,176,0.6316 ,219 ,0.9299 ,,,,0,,0,,63.1617335,,92.98801956
延庆5G京张高铁主站三十八1Z,115.864943,40.382762,60,0.4515 ,377,0.4765 ,527,0.5895 ,752 ,0.9991 ,京张高铁,,,45.15315633,,47.65315633,,58.94865281,,99.91442135
城一5G朝阳万子营西村北1H,116.591966,39.865679,,,,,109,0.6500 ,145 ,1.0000 ,,,,0,,0,,65,,100
城三5G海淀冷泉村东1Z,116.229921,40.036945,95,0.0000 ,319,0.2715 ,478,0.5370 ,636 ,0.8682 ,,,,0,,27.15185554,,53.69899693,,86.82380465
密云5G刘林池1H,116.866572,40.379266,,,317,0.3676 ,590,0.6006 ,737 ,0.8721 ,,,,0,,36.75785431,,60.06142401,,87.2142788
平谷5G联通金海湖2H,117.293888,40.182222,59,0.3907 ,114,0.3927 ,206,0.6065 ,263 ,0.9944 ,首都东部绿色生态谷,,,39.06706626,,39.269509,,60.65145264,,99.43782684
昌平5G北航东北1Z,116.268245,40.157445,364,0.4030 ,2006,0.4280 ,3401,0.6472 ,4360 ,0.9525 ,,,,40.30124102,,42.80124102,,64.72073817,,95.24744662
城三5G海淀育新花园西侧1Z,116.337635,40.051933,,,,,203,0.3893 ,263 ,0.6440 ,,,,0,,0,,38.92967533,,64.40270215
平谷5G鸟首公园南1H,117.079798,40.147012,,,97,0.3443 ,172,0.4999 ,214 ,0.8358 ,首都东部绿色生态谷,,,0,,34.43290603,,49.9851817,,83.58226508
昌平5G华夏陵园2Z,116.380375,40.242408,,,,,61,0.0918 ,86 ,0.1330 ,,,,0,,0,,9.175878257,,13.29837429
